unicode	汉字	频率	旧频率	拼音
\u9ed1	黑	14316	14316	hei
\u578b	型	14298	14298	xing
\u7a7f	穿	14227	14227	chuan
\u60f3	想	14179	14179	xiang
\u8d8a	越	14156	14156	yue
\u4f4d	位	14033	14033	wei
\u8d35	贵	13963	13963	gui
\u957f	长	13911	23086	chang/zhang
\u90e8	部	13825	13825	bu
\u636e	据	13756	13756	ju
\u602a	怪	13739	13739	guai
\u725b	牛	13739	13739	niu
\u5904	处	13722	13722	chu
\u9009	选	13705	13705	xuan
\u7ad9	站	13654	13654	zhan
\u5012	倒	13603	13603	dao
\u7701	省	13586	13603	sheng/xing
\u8c08	谈	13518	13518	tan
\u79f0	称	13485	13828	chen/cheng
\u53f0	台	13451	13451	tai
\u7fa4	群	13451	13451	qun
\u6c57	汗	13318	13318	han
\u7d2f	累	13301	13301	lei
\u7ecf	经	13284	13284	jing
\u67e5	查	13251	13275	cha/zha
\u8c61	象	13251	13251	xiang
\u53d8	变	13218	13218	bian
\u534a	半	13186	13186	ban
\u6570	数	13153	13219	shu/shuo
\u683c	格	13038	13038	ge
\u9762	面	13022	13022	mian
\u7ea2	红	12941	12947	gong/hong
\u9648	陈	12941	12941	chen
\u4e94	五	12861	12861	wu
\u65b9	方	12765	12765	fang
\u9876	顶	12733	12733	ding
\u697c	楼	12718	12718	lou
\u8bfb	读	12702	12707	dou/du
\u67d0	某	12623	12623	mou
\u4e71	乱	12576	12576	luan
\u6761	条	12498	12498	tiao
\u8fdc	远	12498	12498	yuan
\u9a6c	马	12498	12498	ma
\u6d77	海	12451	12451	hai
\u5355	单	12374	12434	chan/dan/shan
\u5149	光	12327	12327	guang
\u70ed	热	12281	12281	re
\u4e14	且	12175	12181	ju/qie
\u548b	咋	12160	12313	za/ze/zha
\u79cd	种	12160	12167	chong/zhong
\u6302	挂	12144	12144	gua
\u98ce	风	12099	12099	feng
\u6797	林	12069	12069	lin
\u6ee1	满	12039	12039	man
\u989d	额	12039	12039	e
\u5316	化	11875	11875	hua
\u73ed	班	11860	11860	ban
\u6ef4	滴	11816	11816	di
\u6da8	涨	11728	11728	zhang
\u5173	关	11612	11612	guan
\u5e97	店	11612	11612	dian
\u673a	机	11612	11612	ji
\u5b89	安	11597	11597	an
\u5750	坐	11583	11583	zuo
\u4fc4	俄	11525	11525	e
\u5ea6	度	11468	11474	du/duo
\u98de	飞	11468	11468	fei
\u5218	刘	11439	11439	liu
\u6b4c	歌	11397	11397	ge
\u62a5	报	11312	11312	bao
\u82e5	若	11227	11227	ruo
\u539f	原	11213	11213	yuan
\u996d	饭	11199	11199	fan
\u6587	文	11186	11186	wen
\u665a	晚	11186	11186	wan
\u91cf	量	11116	11116	liang
