NO	PHRASE	DPIWN	TDPIWN	PERCENT	TPERCENT	JDICT
240	因此	377	366525	0.04976031	48.37770843	*
241	美麗	377	366902	0.04976031	48.42746874	*
242	啦	377	367279	0.04976031	48.47722905	*
243	老	376	367655	0.04962832	48.52685737	*
244	拿	376	368031	0.04962832	48.57648569	*
245	告訴	374	368405	0.04936434	48.62585003	*
246	於是	373	368778	0.04923234	48.67508237	*
247	樹	373	369151	0.04923234	48.72431471	*
248	利用	371	369522	0.04896836	48.77328307	*
249	越	369	369891	0.04870438	48.82198745	*
250	公分	367	370258	0.04844040	48.87042785	*
251	表示	367	370625	0.04844040	48.91886825	*
252	則	367	370992	0.04844040	48.96730865	*
253	這麼	366	371358	0.04830841	49.01561706	*
254	同學	365	371723	0.04817642	49.06379348	*
255	而且	365	372088	0.04817642	49.11196990	*
256	不能	363	372451	0.04791244	49.15988234	*
257	肉味	362	372813	0.04778045	49.20766279	
258	買	362	373175	0.04778045	49.25544324	*
259	正	361	373536	0.04764846	49.30309170	*
260	此	361	373897	0.04764846	49.35074016	*
261	高興	359	374256	0.04738448	49.39812464	*
262	應該	356	374612	0.04698851	49.44511315	*
263	可能	353	374965	0.04659254	49.49170569	*
264	其他	353	375318	0.04659254	49.53829823	*
265	飛	352	375670	0.04646055	49.58475878	*
266	真是	350	376020	0.04619657	49.63095535	
267	發生	349	376369	0.04606458	49.67701993	*
268	道	349	376718	0.04606458	49.72308451	*
269	往	348	377066	0.04593259	49.76901710	*
270	除	348	377414	0.04593259	49.81494969	*
271	一些	347	377761	0.04580060	49.86075029	*
272	下面	347	378108	0.04580060	49.90655089	*
273	經過	346	378454	0.04566861	49.95221950	*
274	變	346	378800	0.04566861	49.99788811	*
275	件	344	379144	0.04540463	50.04329274	*
276	送	343	379487	0.04527264	50.08856538	*
277	學	343	379830	0.04527264	50.13383802	*
278	月	342	380172	0.04514065	50.17897867	*
279	坐	341	380513	0.04500866	50.22398733	*
280	植物	341	380854	0.04500866	50.26899599	*
281	電腦	339	381193	0.04474468	50.31374067	*
282	由於	336	381529	0.04434871	50.35808938	*
283	臺灣	335	381864	0.04421672	50.40230610	*
284	其	334	382198	0.04408473	50.44639083	*
285	者	328	382526	0.04329279	50.48968362	*
286	也是	327	382853	0.04316080	50.53284442	
287	學習	327	383180	0.04316080	50.57600522	*
288	比較	326	383506	0.04302881	50.61903403	*
289	弟弟	325	383831	0.04289682	50.66193085	*
290	聲音	323	384154	0.04263283	50.70456368	*
291	看看	322	384476	0.04250084	50.74706452	*
292	然後	322	384798	0.04250084	50.78956536	*
293	喔	321	385119	0.04236885	50.83193421	*
294	一直	317	385436	0.04184089	50.87377510	*
295	不過	315	385751	0.04157691	50.91535201	*
296	句	315	386066	0.04157691	50.95692892	*
297	校長	315	386381	0.04157691	50.99850583	*
298	意思	314	386695	0.04144492	51.03995075	*
299	原來	312	387007	0.04118094	51.08113169	*
300	變成	312	387319	0.04118094	51.12231263	*
301	書	311	387630	0.04104895	51.16336158	*
302	公尺	310	387940	0.04091696	51.20427854	*
303	日	308	388248	0.04065298	51.24493152	*
304	以後	308	388556	0.04065298	51.28558450	*
305	好像	304	388860	0.04012502	51.32570952	*
306	開	302	389162	0.03986104	51.36557056	*
307	中國	301	389463	0.03972905	51.40529961	*
308	回來	301	389764	0.03972905	51.44502866	*
309	出現	297	390061	0.03920109	51.48422975	*
310	讀	296	390357	0.03906910	51.52329885	*
311	它們	295	390652	0.03893711	51.56223596	*
312	狗	295	390947	0.03893711	51.60117307	*
313	國家	294	391241	0.03880512	51.63997819	*
314	裏	294	391535	0.03880512	51.67878331	
315	自	291	391826	0.03840915	51.71719246	*
316	看見	291	392117	0.03840915	51.75560161	*
317	恐龍	291	392408	0.03840915	51.79401076	*
318	站	291	392699	0.03840915	51.83241991	*
319	情形	289	392988	0.03814517	51.87056508	*
320	共	288	393276	0.03801318	51.90857826	*
321	點	288	393564	0.03801318	51.94659144	*
322	甲	287	393851	0.03788119	51.98447263	*
323	眼睛	287	394138	0.03788119	52.02235382	*
324	死	286	394424	0.03774920	52.06010302	*
325	注音	286	394710	0.03774920	52.09785222	*
326	指	286	394996	0.03774920	52.13560142	*
327	先生	285	395281	0.03761721	52.17321863	*
328	作	285	395566	0.03761721	52.21083584	*
329	認為	285	395851	0.03761721	52.24845305	*
