序號,詞目,詞頻,累計詞頻,百分比,累計百分比
217,走,334,277819,0.05410607,45.00507042
218,第一,334,278153,0.05410607,45.05917649
219,需要,333,278486,0.05394407,45.11312056
220,出現,331,278817,0.05362008,45.16674064
221,甚至,330,279147,0.05345809,45.22019873
222,進行,329,279476,0.05329610,45.27349483
223,一般,326,279802,0.05281011,45.32630494
224,方面,325,280127,0.05264812,45.37895306
225,認為,325,280452,0.05264812,45.43160118
226,不能,320,280772,0.05183815,45.48343933
227,還是,318,281090,0.05151416,45.53495349
228,加,317,281407,0.05135217,45.58630566
229,近,317,281724,0.05135217,45.63765782
230,選擇,315,282039,0.05102818,45.68868600
231,歲,314,282353,0.05086618,45.73955218
232,大陸,312,282665,0.05054219,45.79009438
233,心,312,282977,0.05054219,45.84063657
234,達,312,283289,0.05054219,45.89117877
235,發生,309,283598,0.05005621,45.94123498
236,言,308,283906,0.04989422,45.99112920
237,時候,308,284214,0.04989422,46.04102341
238,特別,306,284520,0.04957023,46.09059364
239,場,306,284826,0.04957023,46.14016387
240,一些,305,285131,0.04940824,46.18957211
241,且,305,285436,0.04940824,46.23898034
242,活動,305,285741,0.04940824,46.28838858
243,一定,303,286044,0.04908425,46.33747283
244,錢,301,286345,0.04876026,46.38623308
245,應該,301,286646,0.04876026,46.43499334
246,昨天,299,286945,0.04843627,46.48342961
247,包括,298,287243,0.04827428,46.53170389
248,低,297,287540,0.04811228,46.57981617
249,打,295,287835,0.04778829,46.62760446
250,社會,294,288129,0.04762630,46.67523076
251,日本,293,288422,0.04746430,46.72269507
252,作品,292,288714,0.04730231,46.76999738
253,沒,292,289006,0.04730231,46.81729969
254,非常,292,289298,0.04730231,46.86460200
255,連,292,289590,0.04730231,46.91190431
256,機會,292,289882,0.04730231,46.95920662
257,少,286,290168,0.04633035,47.00553696
258,企業,284,290452,0.04600636,47.05154332
259,藝術,284,290736,0.04600636,47.09754968
260,找,283,291019,0.04584436,47.14339404
261,知道,283,291302,0.04584436,47.18923840
262,日,282,291584,0.04568237,47.23492077
263,常,282,291866,0.04568237,47.28060314
264,開,282,292148,0.04568237,47.32628551
265,股票,280,292428,0.04535838,47.37164388
266,難,280,292708,0.04535838,47.41700226
267,具,278,292986,0.04503439,47.46203666
268,功能,277,293263,0.04487240,47.50690905
269,真,277,293540,0.04487240,47.55178145
270,經濟,277,293817,0.04487240,47.59665385
271,攝影,276,294093,0.04471040,47.64136425
272,業者,275,294368,0.04454841,47.68591266
273,成為,274,294642,0.04438641,47.73029907
274,系統,273,294915,0.04422442,47.77452349
275,當然,273,295188,0.04422442,47.81874791
276,是否,272,295460,0.04406243,47.86281034
277,部分,272,295732,0.04406243,47.90687277
278,買,272,296004,0.04406243,47.95093519
279,亦,270,296274,0.04373844,47.99467363
280,張,270,296544,0.04373844,48.03841207
281,片,269,296813,0.04357644,48.08198851
282,吃,268,297081,0.04341445,48.12540296
283,車,268,297349,0.04341445,48.16881741
284,一樣,267,297616,0.04325246,48.21206986
285,服務,267,297883,0.04325246,48.25532232
286,一直,266,298149,0.04309046,48.29841278
287,任何,266,298415,0.04309046,48.34150324
288,成長,266,298681,0.04309046,48.38459370
289,地方,265,298946,0.04292847,48.42752217
290,結果,265,299211,0.04292847,48.47045064
291,回,264,299475,0.04276647,48.51321711
292,帶,264,299739,0.04276647,48.55598358
293,另外,262,300001,0.04244248,48.59842606
294,期,262,300263,0.04244248,48.64086855
295,要求,261,300524,0.04228049,48.68314904
296,關係,260,300784,0.04211850,48.72526753
297,六,259,301043,0.04195650,48.76722403
298,容易,258,301301,0.04179451,48.80901854
299,國家,257,301558,0.04163251,48.85065105
300,中共,256,301814,0.04147052,48.89212157
301,環境,256,302070,0.04147052,48.93359209
302,樣,255,302325,0.04130852,48.97490062
303,研究,254,302579,0.04114653,49.01604715
304,進,254,302833,0.04114653,49.05719368
305,只是,253,303086,0.04098454,49.09817821
306,們,251,303337,0.04066055,49.13883876
307,話,251,303588,0.04066055,49.17949931
308,令,248,303836,0.04017456,49.21967387
309,類,248,304084,0.04017456,49.25984844
310,大家,247,304331,0.04001257,49.29986101
311,個人,247,304578,0.04001257,49.33987358
312,完全,246,304824,0.03985058,49.37972416
313,股,246,305070,0.03985058,49.41957473
314,今天,245,305315,0.03968858,49.45926332
315,利用,245,305560,0.03968858,49.49895190
316,美元,245,305805,0.03968858,49.53864048
317,極,245,306050,0.03968858,49.57832906
318,過去,245,306295,0.03968858,49.61801764
319,電影,245,306540,0.03968858,49.65770623
320,處理,244,306784,0.03952659,49.69723281
321,股市,242,307026,0.03920260,49.73643541
322,自然,241,307267,0.03904061,49.77547602
323,決定,241,307508,0.03904061,49.81451663
324,身,241,307749,0.03904061,49.85355723
325,地區,240,307989,0.03887861,49.89243584
326,成功,240,308229,0.03887861,49.93131445
327,非,240,308469,0.03887861,49.97019306
328,跟,240,308709,0.03887861,50.00907168
329,您,239,308948,0.03871662,50.04778829
330,推出,238,309186,0.03855462,50.08634292
331,整,238,309424,0.03855462,50.12489754
332,隨,238,309662,0.03855462,50.16345216
333,能力,235,309897,0.03806864,50.20152080
334,變,234,310131,0.03790665,50.23942745
335,了解,233,310364,0.03774465,50.27717210
336,空間,231,310595,0.03742066,50.31459276
337,產生,231,310826,0.03742066,50.35201343
338,呢,230,311056,0.03725867,50.38927210
339,往,230,311286,0.03725867,50.42653076
340,最後,230,311516,0.03725867,50.46378943
341,加上,228,311744,0.03693468,50.50072411
342,同,228,311972,0.03693468,50.53765879
343,請,228,312200,0.03693468,50.57459348
344,國內,227,312427,0.03677269,50.61136616
345,進入,227,312654,0.03677269,50.64813885
346,愈,227,312881,0.03677269,50.68491153
347,妳,226,313107,0.03661069,50.72152223
348,民眾,225,313332,0.03644870,50.75797093
349,遊戲,225,313557,0.03644870,50.79441962
350,對於,225,313782,0.03644870,50.83086832
351,總,225,314007,0.03644870,50.86731702
352,台,224,314231,0.03628670,50.90360372
353,佳,224,314455,0.03628670,50.93989043
354,問,224,314679,0.03628670,50.97617713
355,認,224,314903,0.03628670,51.01246383
356,廣告,224,315127,0.03628670,51.04875054
357,如此,223,315350,0.03612471,51.08487525
358,銀行,223,315573,0.03612471,51.12099996
359,資料,221,315794,0.03580072,51.15680068
360,件,219,316013,0.03547673,51.19227741
361,完成,219,316232,0.03547673,51.22775414
362,或是,219,316451,0.03547673,51.26323088
363,孩子,219,316670,0.03547673,51.29870761
364,經營,219,316889,0.03547673,51.33418434
365,早,218,317107,0.03531474,51.36949908
366,這些,218,317325,0.03531474,51.40481382
367,當時,218,317543,0.03531474,51.44012856
368,技術,217,317760,0.03515274,51.47528130
369,情況,216,317976,0.03499075,51.51027205
370,部,215,318191,0.03482876,51.54510081
371,朋友,214,318405,0.03466676,51.57976757
372,資訊,214,318619,0.03466676,51.61443433
373,國際,213,318832,0.03450477,51.64893910
374,其中,212,319044,0.03434277,51.68328187
375,聽,212,319256,0.03434277,51.71762465
376,面,211,319467,0.03418078,51.75180543
377,能夠,210,319677,0.03401878,51.78582421
378,均,209,319886,0.03385679,51.81968100
379,其實,209,320095,0.03385679,51.85353779
380,某,209,320304,0.03385679,51.88739458
381,文化,208,320512,0.03369480,51.92108938
382,快,208,320720,0.03369480,51.95478418
383,廠商,208,320928,0.03369480,51.98847897
384,原因,207,321135,0.03353280,52.02201177
385,不要,205,321340,0.03320881,52.05522059
386,香港,205,321545,0.03320881,52.08842940
387,半,204,321749,0.03304682,52.12147622
388,喜歡,204,321953,0.03304682,52.15452304
389,可是,203,322156,0.03288483,52.18740787
390,身體,203,322359,0.03288483,52.22029269
391,放,203,322562,0.03288483,52.25317752
392,經驗,203,322765,0.03288483,52.28606234
393,花,202,322967,0.03272283,52.31878517
394,最近,202,323169,0.03272283,52.35150800
395,水,201,323370,0.03256084,52.38406884
396,型,201,323571,0.03256084,52.41662968
397,效果,201,323772,0.03256084,52.44919051
398,造成,201,323973,0.03256084,52.48175135
399,價格,201,324174,0.03256084,52.51431219
400,行,200,324374,0.03239884,52.54671103
401,土地,199,324573,0.03223685,52.57894788
402,手,198,324771,0.03207485,52.61102273
403,代表,198,324969,0.03207485,52.64309759
404,底,198,325167,0.03207485,52.67517244
405,段,197,325364,0.03191286,52.70708530
406,音樂,197,325561,0.03191286,52.73899816
407,感覺,197,325758,0.03191286,52.77091102
408,萬,197,325955,0.03191286,52.80282388
409,選,196,326151,0.03175087,52.83457475
410,單位,195,326346,0.03158887,52.86616362
411,不斷,194,326540,0.03142688,52.89759050
412,注意,194,326734,0.03142688,52.92901738
413,經過,194,326928,0.03142688,52.96044425
414,方法,193,327121,0.03126488,52.99170914
415,那麼,193,327314,0.03126488,53.02297402
416,政治,193,327507,0.03126488,53.05423890
417,需,193,327700,0.03126488,53.08550379
418,傳統,192,327892,0.03110289,53.11660667
419,至於,191,328083,0.03094089,53.14754757
420,顯示,191,328274,0.03094089,53.17848846
421,出來,190,328464,0.03077890,53.20926736
422,接受,190,328654,0.03077890,53.24004627
423,資金,190,328844,0.03077890,53.27082517
424,七,188,329032,0.03045491,53.30128008
425,相關,188,329220,0.03045491,53.33173499
426,目標,187,329407,0.03029292,53.36202791
427,老,187,329594,0.03029292,53.39232083
428,經,187,329781,0.03029292,53.42261374
429,品質,186,329967,0.03013092,53.45274467
430,根據,186,330153,0.03013092,53.48287559
431,管理,186,330339,0.03013092,53.51300652
432,網路,186,330525,0.03013092,53.54313744
433,嗎,183,330708,0.02964494,53.57278238
434,尤其,182,330890,0.02948295,53.60226533
435,直接,181,331071,0.02932095,53.63158628
436,拿,181,331252,0.02932095,53.66090723
437,真正,181,331433,0.02932095,53.69022819
438,屬,181,331614,0.02932095,53.71954914
439,人員,180,331794,0.02915896,53.74870810
440,不少,180,331974,0.02915896,53.77786705
441,首,180,332154,0.02915896,53.80702601
442,女性,179,332333,0.02899696,53.83602298
443,計畫,179,332512,0.02899696,53.86501994
444,部份,179,332691,0.02899696,53.89401691
445,過程,179,332870,0.02899696,53.92301387
446,中國,178,333048,0.02883497,53.95184884
447,告訴,178,333226,0.02883497,53.98068381
448,份,177,333403,0.02867298,54.00935679
449,入,176,333579,0.02851098,54.03786777
450,產業,176,333755,0.02851098,54.06637875
451,愛,176,333931,0.02851098,54.09488973
452,據,176,334107,0.02851098,54.12340071
453,八,174,334281,0.02818699,54.15158771
454,書,174,334455,0.02818699,54.17977470
455,參加,174,334629,0.02818699,54.20796169
456,僅,174,334803,0.02818699,54.23614868
457,別人,173,334976,0.02802500,54.26417368
458,建議,173,335149,0.02802500,54.29219868
