字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
3378,遶,??,17,5,1003279,99.74380031
3379,(??),木,10,5,1003284,99.74429739
3380,乞,乙,03,4,1003288,99.74469507
3381,弔,弓,04,4,1003292,99.74509274
3382,皿,皿,05,4,1003296,99.74549041
3383,矢,矢,05,4,1003300,99.74588808
3384,匈,??,06,4,1003304,99.74628575
3385,夸,大,06,4,1003308,99.74668342
3386,奸,女,06,4,1003312,99.74708109
3387,伶,人,07,4,1003316,99.74747876
3388,吝,口,07,4,1003320,99.74787644
3389,吶,口,07,4,1003324,99.74827411
3390,妒,女,07,4,1003328,99.74867178
3391,妞,女,07,4,1003332,99.74906945
3392,妍,女,07,4,1003336,99.74946712
3393,扼,手,07,4,1003340,99.74986479
3394,杖,木,07,4,1003344,99.75026246
3395,汶,水,07,4,1003348,99.75066013
3396,卒,十,08,4,1003352,99.75105781
3397,咀,口,08,4,1003356,99.75145548
3398,咐,口,08,4,1003360,99.75185315
3399,斧,斤,08,4,1003364,99.75225082
3400,泓,水,08,4,1003368,99.75264849
3401,泱,水,08,4,1003372,99.75304616
3402,泯,水,08,4,1003376,99.75344383
3403,祀,示,08,4,1003380,99.75384150
3404,芹,艸,08,4,1003384,99.75423918
3405,俑,人,09,4,1003388,99.75463685
3406,俟,人,09,4,1003392,99.75503452
3407,剋,刀,09,4,1003396,99.75543219
3408,峙,山,09,4,1003400,99.75582986
3409,弭,弓,09,4,1003404,99.75622753
3410,恫,心,09,4,1003408,99.75662520
3411,拯,手,09,4,1003412,99.75702287
3412,昧,日,09,4,1003416,99.75742055
3413,柿,木,09,4,1003420,99.75781822
3414,氟,气,09,4,1003424,99.75821589
3415,炯,火,09,4,1003428,99.75861356
3416,疤,??,09,4,1003432,99.75901123
3417,祉,示,09,4,1003436,99.75940890
3418,籽,米,09,4,1003440,99.75980657
3419,苔,艸,09,4,1003444,99.76020424
3420,苓,艸,09,4,1003448,99.76060192
3421,迢,??,09,4,1003452,99.76099959
3422,哽,口,10,4,1003456,99.76139726
3423,娓,女,10,4,1003460,99.76179493
3424,宸,??,10,4,1003464,99.76219260
3425,捍,手,10,4,1003468,99.76259027
3426,盎,皿,10,4,1003472,99.76298794
3427,眨,目,10,4,1003476,99.76338561
3428,胴,肉,10,4,1003480,99.76378329
3429,荐,艸,10,4,1003484,99.76418096
3430,茹,艸,10,4,1003488,99.76457863
3431,荀,艸,10,4,1003492,99.76497630
3432,躬,身,10,4,1003496,99.76537397
3433,匿,??,11,4,1003500,99.76577164
3434,匾,??,11,4,1003504,99.76616931
3435,啪,口,11,4,1003508,99.76656698
3436,婪,女,11,4,1003512,99.76696465
3437,惚,心,11,4,1003516,99.76736233
3438,掠,手,11,4,1003520,99.76776000
3439,梢,木,11,4,1003524,99.76815767
3440,梓,木,11,4,1003528,99.76855534
3441,梵,木,11,4,1003532,99.76895301
3442,焊,火,11,4,1003536,99.76935068
3443,烽,火,11,4,1003540,99.76974835
3444,琅,玉,11,4,1003544,99.77014602
3445,痊,??,11,4,1003548,99.77054370
3446,脩,肉,10,4,1003552,99.77094137
3447,舶,舟,11,4,1003556,99.77133904
3448,莽,艸,11,4,1003560,99.77173671
3449,莒,艸,11,4,1003564,99.77213438
3450,趾,足,11,4,1003568,99.77253205
3451,喟,口,12,4,1003572,99.77292972
