字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
1159,澤,水,16,122,925209,91.98225193
1160,(粧),米,12,122,925331,91.99438091
1161,皆,白,09,121,925452,92.00641046
1162,暗,日,13,121,925573,92.01844002
1163,櫃,木,18,121,925694,92.03046957
1164,召,口,05,120,925814,92.04239971
1165,辛,辛,07,120,925934,92.05432984
1166,乳,乙,08,120,926054,92.06625998
1167,欣,欠,08,120,926174,92.07819012
1168,紐,糸,10,120,926294,92.09012026
1169,欲,欠,11,120,926414,92.10205039
1170,琴,玉,12,120,926534,92.11398053
1171,盟,皿,13,120,926654,92.12591067
1172,緩,糸,15,120,926774,92.13784080
1173,瞭,目,17,120,926894,92.14977094
1174,贏,貝,20,120,927014,92.16170108
1175,(裏),衣,13,120,927134,92.17363122
1176,仔,人,05,119,927253,92.18546193
1177,碰,石,13,119,927372,92.19729265
1178,載,車,13,119,927491,92.20912337
1179,酬,酉,13,119,927610,92.22095409
1180,鋼,金,16,119,927729,92.23278481
1181,抽,手,08,118,927847,92.24451611
1182,珍,玉,09,118,927965,92.25624742
1183,頂,頁,11,118,928083,92.26797872
1184,輪,車,15,118,928201,92.27971002
1185,旦,日,05,117,928318,92.29134190
1186,莫,艸,11,117,928435,92.30297379
1187,焦,火,12,117,928552,92.31460567
1188,塔,土,13,117,928669,92.32623755
1189,詢,言,13,117,928786,92.33786944
1190,蔡,艸,15,117,928903,92.34950132
1191,忙,心,06,116,929019,92.36103379
1192,伸,人,07,116,929135,92.37256625
1193,哥,口,10,116,929251,92.38409872
1194,廢,??,15,116,929367,92.39563118
1195,儘,人,16,116,929483,92.40716365
1196,勇,力,09,115,929598,92.41859670
1197,棄,木,11,115,929713,92.43002975
1198,瑪,玉,14,115,929828,92.44146279
1199,障,阜,14,115,929943,92.45289584
1200,丹,??,04,114,930057,92.46422947
1201,伴,人,07,114,930171,92.47556310
1202,序,??,07,114,930285,92.48689673
1203,邦,邑,07,114,930399,92.49823036
1204,桃,木,10,114,930513,92.50956399
1205,殊,歹,10,114,930627,92.52089762
1206,揚,手,12,114,930741,92.53223125
1207,禁,示,13,114,930855,92.54356488
1208,綠,糸,14,114,930969,92.55489851
1209,輛,車,15,114,931083,92.56623214
1210,兼,八,10,113,931196,92.57746636
1211,涉,水,10,113,931309,92.58870057
1212,紹,糸,11,113,931422,92.59993478
1213,悲,心,12,113,931535,92.61116899
1214,描,手,12,113,931648,92.62240321
1215,隱,阜,17,113,931761,92.63363742
1216,徒,彳,10,112,931873,92.64477221
1217,淡,水,11,112,931985,92.65590701
1218,腹,肉,13,112,932097,92.66704180
1219,邀,??,17,112,932209,92.67817660
1220,歸,止,18,112,932321,92.68931139
1221,覽,見,21,112,932433,92.70044619
1222,佈,人,07,111,932544,92.71148156
1223,忘,心,07,111,932655,92.72251694
1224,泡,水,08,111,932766,92.73355232
1225,逃,??,10,111,932877,92.74458769
1226,擺,手,18,111,932988,92.75562307
1227,繪,糸,19,111,933099,92.76665845
1228,艾,艸,06,110,933209,92.77759441
1229,授,手,11,110,933319,92.78853037
1230,植,木,12,110,933429,92.79946633
1231,楊,木,13,110,933539,92.81040228
1232,誰,言,15,110,933649,92.82133824
1233,氏,氏,04,109,933758,92.83217478
1234,句,口,05,109,933867,92.84301133
1235,伯,人,07,109,933976,92.85384787
1236,冒,??,09,109,934085,92.86468441
1237,捕,手,10,109,934194,92.87552095
1238,喬,口,12,109,934303,92.88635749
1239,敦,??,12,109,934412,92.89719403
1240,幹,干,13,109,934521,92.90803057
1241,醒,酉,16,109,934630,92.91886711
1242,覆,襾,18,109,934739,92.92970366
1243,怪,心,08,108,934847,92.94044078
1244,借,人,10,108,934955,92.95117790
1245,尊,寸,12,108,935063,92.96191503
1246,籃,竹,20,108,935171,92.97265215
1247,阻,阜,08,107,935278,92.98328985
1248,柏,木,09,107,935385,92.99392756
1249,鬥,鬥,10,107,935492,93.00456527
1250,袋,衣,11,107,935599,93.01520297
1251,稍,禾,12,107,935706,93.02584068
1252,簽,竹,19,107,935813,93.03647838
1253,桌,木,10,106,935919,93.04701667
1254,敢,??,12,106,936025,93.05755496
1255,替,曰,12,106,936131,93.06809325
1256,燒,火,16,106,936237,93.07863153
1257,闆,門,17,106,936343,93.08916982
1258,(唇),口,10,105,936448,93.09960869
1259,溝,水,13,105,936553,93.11004756
1260,箱,竹,15,105,936658,93.12048643
1261,鞋,革,15,105,936763,93.13092530
1262,帝,巾,09,104,936867,93.14126475
1263,偵,人,11,104,936971,93.15160421
1264,署,网,13,104,937075,93.16194366
1265,槍,木,14,104,937179,93.17228311
1266,擬,手,17,104,937283,93.18262256
1267,裁,衣,12,103,937386,93.19286260
1268,豪,豕,14,103,937489,93.20310263
1269,暫,日,15,103,937592,93.21334267
1270,賭,貝,15,103,937695,93.22358270
1271,奶,女,05,102,937797,93.23372332
1272,厚,厂,09,102,937899,93.24386393
1273,塑,土,13,102,938001,93.25400455
1274,罪,网,13,102,938103,93.26414517
1275,翻,羽,18,102,938205,93.27428578
1276,乏,??,05,101,938306,93.28432698
1277,玉,玉,05,101,938407,93.29436818
1278,映,日,09,101,938508,93.30440938
1279,秋,禾,09,101,938609,93.31445058
1280,毫,毛,11,101,938710,93.32449178
1281,傑,人,12,101,938811,93.33453297
1282,滑,水,13,101,938912,93.34457417
1283,震,雨,15,101,939013,93.35461537
1284,魯,魚,15,101,939114,93.36465657
1285,衡,行,16,101,939215,93.37469777
1286,藍,艸,18,101,939316,93.38473897
1287,冰,??,06,100,939416,93.39468075
1288,茲,艸,10,100,939516,93.40462253
1289,凡,??,03,99,939615,93.41446489
1290,偉,人,11,99,939714,93.42430726
1291,獅,犬,13,99,939813,93.43414962
1292,詳,言,13,99,939912,93.44399198
1293,敵,??,15,99,940011,93.45383435
1294,豬,豕,15,99,940110,93.46367671
1295,糖,米,16,99,940209,93.47351907
1296,繁,糸,17,99,940308,93.48336144
1297,斤,斤,04,98,940406,93.49310438
1298,沈,水,07,98,940504,93.50284733
1299,坦,土,08,98,940602,93.51259027
1300,忽,心,08,98,940700,93.52233322
1301,惜,心,11,98,940798,93.53207616
1302,旋,方,11,98,940896,93.54181911
1303,詞,言,12,98,940994,93.55156205
1304,違,??,13,98,941092,93.56130500
1305,彰,??,14,98,941190,93.57104794
1306,孕,子,05,97,941287,93.58069147
1307,疾,??,10,97,941384,93.59033500
1308,婆,女,11,97,941481,93.59997853
1309,儀,人,15,97,941578,93.60962205
1310,蕭,艸,16,97,941675,93.61926558
1311,鎖,金,18,97,941772,93.62890911
1312,末,木,05,96,941868,93.63845322
1313,耳,耳,06,96,941964,93.64799733
1314,彼,彳,08,96,942060,93.65754144
1315,爸,父,08,96,942156,93.66708555
1316,盈,皿,09,96,942252,93.67662966
1317,敬,??,13,96,942348,93.68617377
1318,齡,齒,20,96,942444,93.69571788
1319,萊,艸,12,95,942539,93.70516257
1320,魔,鬼,21,95,942634,93.71460726
1321,貸,貝,12,94,942728,93.72395253
1322,匯,匚,13,94,942822,93.73329781
1323,睛,目,13,94,942916,93.74264308
1324,橋,木,16,94,943010,93.75198836
1325,濃,水,16,94,943104,93.76133363
1326,顆,頁,17,94,943198,93.77067890
1327,幻,??,04,93,943291,93.77992476
1328,尾,尸,07,93,943384,93.78917062
1329,松,木,08,93,943477,93.79841647
1330,峰,山,10,93,943570,93.80766233
1331,舒,舌,12,93,943663,93.81690819
1332,壘,土,18,93,943756,93.82615404
1333,杯,木,08,92,943848,93.83530048
1334,冠,??,09,92,943940,93.84444692
1335,柯,木,09,92,944032,93.85359336
1336,迫,??,09,92,944124,93.86273980
1337,浴,水,10,92,944216,93.87188623
1338,絡,糸,12,92,944308,93.88103267
1339,扮,手,07,91,944399,93.89007969
1340,泉,水,09,91,944490,93.89912671
1341,搶,手,13,91,944581,93.90817373
1342,頸,頁,16,91,944672,93.91722076
1343,兄,儿,05,90,944762,93.92616836
1344,拓,手,08,90,944852,93.93511596
1345,側,人,11,90,944942,93.94406356
1346,診,言,12,90,945032,93.95301117
1347,貼,貝,12,90,945122,93.96195877
1348,托,手,06,89,945211,93.97080695
1349,肥,肉,08,89,945300,93.97965514
1350,勒,力,11,89,945389,93.98850332
1351,蒙,艸,14,89,945478,93.99735151
1352,干,干,03,88,945566,94.00610028
1353,池,水,06,88,945654,94.01484904
1354,床,??,07,88,945742,94.02359781
1355,徐,彳,10,88,945830,94.03234658
1356,殘,歹,12,88,945918,94.04109535
1357,諸,言,15,88,946006,94.04984411
1358,肝,肉,07,87,946093,94.05849346
1359,忠,心,08,87,946180,94.06714281
1360,偶,人,11,87,946267,94.07579216
1361,添,水,11,87,946354,94.08444151
1362,麻,麻,11,87,946441,94.09309086
1363,詩,言,13,87,946528,94.10174021
1364,勵,力,17,87,946615,94.11038956
1365,牙,牙,04,86,946701,94.11893949
1366,俗,人,09,86,946787,94.12748942
1367,膜,肉,15,86,946873,94.13603935
1368,駕,馬,15,86,946959,94.14458929
1369,韓,韋,17,86,947045,94.15313922
1370,麵,麥,20,86,947131,94.16168915
1371,併,人,08,85,947216,94.17013966
1372,恢,心,09,85,947301,94.17859018
1373,胎,肉,09,85,947386,94.18704069
1374,珠,玉,10,85,947471,94.19549120
1375,蛋,虫,11,85,947556,94.20394172
1376,裕,衣,13,85,947641,94.21239223
1377,潤,水,15,85,947726,94.22084274
1378,懂,心,17,85,947811,94.22929326
1379,乃,??,02,84,947895,94.23764435
1380,冬,??,05,84,947979,94.24599545
1381,巡,??,07,84,948063,94.25434655
1382,鳥,鳥,11,84,948147,94.26269764
1383,郵,邑,12,84,948231,94.27104874
1384,輔,車,14,84,948315,94.27939983
1385,慧,心,15,84,948399,94.28775093
1386,膠,肉,15,84,948483,94.29610203
1387,踏,足,15,84,948567,94.30445312
1388,駐,馬,15,84,948651,94.31280422
1389,壇,土,16,84,948735,94.32115531
1390,擾,手,18,84,948819,94.32950641
1391,役,彳,07,83,948902,94.33775809
1392,俊,人,09,83,948985,94.34600977
1393,凱,几,12,83,949068,94.35426144
1394,斑,文,12,83,949151,94.36251312
1395,酸,酉,14,83,949234,94.37076480
1396,礎,石,18,83,949317,94.37901648
1397,刑,刀,06,82,949399,94.38716874
1398,圾,土,07,82,949481,94.39532100
1399,垃,土,08,82,949563,94.40347326
1400,封,寸,09,82,949645,94.41162552
1401,胞,肉,09,82,949727,94.41977778
1402,迪,??,09,82,949809,94.42793004
1403,脈,肉,10,82,949891,94.43608230
1404,剩,刀,12,82,949973,94.44423456
1405,番,田,12,82,950055,94.45238682
1406,搖,手,13,82,950137,94.46053908
1407,憂,心,15,82,950219,94.46869134
1408,虧,虍,17,82,950301,94.47684360
1409,幼,??,05,81,950382,94.48489645
1410,拒,手,08,81,950463,94.49294929
1411,侵,人,09,81,950544,94.50100213
1412,胡,肉,09,81,950625,94.50905497
1413,塞,土,13,81,950706,94.51710782
1414,綜,糸,14,81,950787,94.52516066
1415,君,口,07,80,950867,94.53311408
1416,妙,女,07,80,950947,94.54106751
1417,茶,艸,10,80,951027,94.54902093
1418,捷,手,11,80,951107,94.55697436
1419,循,彳,12,80,951187,94.56492778
1420,勤,力,13,80,951267,94.57288121
1421,閣,門,14,80,951347,94.58083463
1422,齊,齊,14,80,951427,94.58878806
1423,篇,竹,15,80,951507,94.59674148
1424,鄰,邑,15,80,951587,94.60469491
1425,戴,戈,17,80,951667,94.61264833
1426,杜,木,07,79,951746,94.62050234
1427,耐,而,09,79,951825,94.62835635
1428,偷,人,11,79,951904,94.63621035
1429,措,手,11,79,951983,94.64406436
1430,旗,方,14,79,952062,94.65191837
1431,礙,石,19,79,952141,94.65977237
1432,丁,一,02,78,952219,94.66752696
1433,冊,??,05,78,952297,94.67528155
1434,甲,田,05,78,952375,94.68303614
1435,秒,禾,09,78,952453,94.69079073
1436,浮,水,10,78,952531,94.69854532
1437,償,人,17,78,952609,94.70629991
1438,炒,火,08,77,952686,94.71395508
1439,怨,心,09,77,952763,94.72161025
1440,乘,??,10,77,952840,94.72926542
1441,帳,巾,11,77,952917,94.73692059
1442,閉,門,11,77,952994,94.74457576
1443,鹿,鹿,11,77,953071,94.75223094
1444,喪,口,12,77,953148,94.75988611
1445,壽,士,14,77,953225,94.76754128
1446,劑,刀,16,77,953302,94.77519645
1447,擦,手,17,77,953379,94.78285162
1448,爆,火,19,77,953456,94.79050679
1449,鱷,魚,27,77,953533,94.79816196
1450,(污),水,06,76,953609,94.80571772
1451,抓,手,07,76,953685,94.81327347
1452,朗,月,10,76,953761,94.82082922
1453,脂,肉,10,76,953837,94.82838498
1454,啡,口,11,76,953913,94.83594073
1455,悉,心,11,76,953989,94.84349648
1456,掛,手,11,76,954065,94.85105224
1457,跡,足,13,76,954141,94.85860799
1458,儲,人,17,76,954217,94.86616375
1459,繳,糸,19,76,954293,94.87371950
1460,贈,貝,19,76,954369,94.88127525
1461,扣,手,06,75,954444,94.88873159
1462,妨,女,07,75,954519,94.89618792
1463,谷,谷,07,75,954594,94.90364426
1464,抵,手,08,75,954669,94.91110059
1465,姿,女,09,75,954744,94.91855693
1466,租,禾,10,75,954819,94.92601327
1467,彭,??,12,75,954894,94.93346960
1468,截,戈,14,75,954969,94.94092594
1469,臺,至,14,75,955044,94.94838227
1470,擎,手,17,75,955119,94.95583861
1471,占,卜,05,74,955193,94.96319553
1472,宋,??,07,74,955267,94.97055244
1473,忍,心,07,74,955341,94.97790936
1474,函,凵,08,74,955415,94.98526628
1475,咖,口,08,74,955489,94.99262320
1476,妻,女,08,74,955563,94.99998012
1477,姐,女,08,74,955637,95.00733703
1478,崇,山,11,74,955711,95.01469395
1479,殖,歹,12,74,955785,95.02205087
1480,菌,艸,12,74,955859,95.02940779
1481,壁,土,16,74,955933,95.03676471
1482,奮,大,16,74,956007,95.04412162
1483,默,黑,16,74,956081,95.05147854
1484,薪,艸,17,74,956155,95.05883546
1485,芳,艸,08,73,956228,95.06609296
1486,頁,頁,09,73,956301,95.07335046
1487,衰,衣,10,73,956374,95.08060796
1488,啊,口,11,73,956447,95.08786546
1489,插,手,12,73,956520,95.09512296
1490,寧,??,14,73,956593,95.10238046
1491,蜜,虫,14,73,956666,95.10963796
1492,嚇,口,17,73,956739,95.11689546
1493,牆,爿,17,73,956812,95.12415296
1494,邁,??,17,73,956885,95.13141046
1495,臘,肉,19,73,956958,95.13866796
1496,獻,犬,20,73,957031,95.14592546
1497,串,｜,07,72,957103,95.15308354
1498,狂,犬,07,72,957175,95.16024163
1499,弦,弓,08,72,957247,95.16739971
1500,昇,日,08,72,957319,95.17455779
1501,沿,水,08,72,957391,95.18171587
1502,采,釆,08,72,957463,95.18887395
1503,俄,人,09,72,957535,95.19603204
1504,唐,口,10,72,957607,95.20319012
1505,祖,示,10,72,957679,95.21034820
1506,莊,艸,11,72,957751,95.21750628
1507,陷,阜,11,72,957823,95.22466437
1508,棉,木,12,72,957895,95.23182245
1509,滋,水,12,72,957967,95.23898053
1510,嬰,女,17,72,958039,95.24613861
1511,薄,艸,17,72,958111,95.25329669
1512,瓦,瓦,05,71,958182,95.26035536
1513,邱,邑,08,71,958253,95.26741402
1514,紋,糸,10,71,958324,95.27447269
1515,啤,口,11,71,958395,95.28153135
1516,陪,阜,11,71,958466,95.28859002
1517,菲,艸,12,71,958537,95.29564868
1518,跨,足,13,71,958608,95.30270735
1519,潔,水,15,71,958679,95.30976601
1520,駛,馬,15,71,958750,95.31682467
1521,艘,舟,16,71,958821,95.32388334
1522,鵬,鳥,19,71,958892,95.33094200
1523,奈,大,08,70,958962,95.33790125
1524,氛,气,08,70,959032,95.34486050
1525,械,木,11,70,959102,95.35181974
1526,盜,皿,12,70,959172,95.35877899
1527,睡,目,14,70,959242,95.36573824
1528,貌,豸,14,70,959312,95.37269748
1529,鄭,邑,15,70,959382,95.37965673
1530,閱,門,15,70,959452,95.38661598
1531,灰,火,06,69,959521,95.39347581
1532,姆,女,08,69,959590,95.40033563
1533,返,??,08,69,959659,95.40719546
1534,炸,火,09,69,959728,95.41405529
1535,徑,彳,10,69,959797,95.42091512
1536,梅,木,11,69,959866,95.42777495
1537,瓶,瓦,11,69,959935,95.43463478
1538,郭,邑,11,69,960004,95.44149461
1539,暢,日,14,69,960073,95.44835444
1540,稿,禾,15,69,960142,95.45521427
1541,鍋,金,17,69,960211,95.46207409
1542,纖,糸,23,69,960280,95.46893392
1543,卵,??,07,68,960348,95.47569433
1544,胸,肉,10,68,960416,95.48245475
1545,匙,匕,11,68,960484,95.48921516
1546,虛,虍,12,68,960552,95.49597557
1547,撐,手,15,68,960620,95.50273598
1548,鬧,鬥,15,68,960688,95.50949639
1549,臟,肉,22,68,960756,95.51625680
1550,坪,土,08,67,960823,95.52291779
1551,漁,水,14,67,960890,95.52957879
1552,鳳,鳥,14,67,960957,95.53623978
1553,爐,火,20,67,961024,95.54290077
1554,匹,??,04,66,961090,95.54946235
1555,瓜,瓜,05,66,961156,95.55602392
1556,皇,白,09,66,961222,95.56258550
1557,恩,心,10,66,961288,95.56914707
1558,疲,??,10,66,961354,95.57570865
1559,貧,貝,11,66,961420,95.58227023
1560,葡,艸,13,66,961486,95.58883180
1561,熊,火,14,66,961552,95.59539338
1562,撞,手,15,66,961618,95.60195495
1563,遷,??,15,66,961684,95.60851653
1564,螢,虫,16,66,961750,95.61507810
1565,薩,艸,18,66,961816,95.62163968
1566,宅,??,06,65,961881,95.62810184
1567,烤,火,10,65,961946,95.63456399
1568,寄,??,11,65,962011,95.64102615
1569,販,貝,11,65,962076,95.64748831
1570,萄,艸,12,65,962141,95.65395047
1571,滅,水,13,65,962206,95.66041262
1572,煩,火,13,65,962271,95.66687478
1573,嘗,口,14,65,962336,95.67333694
1574,鼻,鼻,14,65,962401,95.67979910
1575,蓮,艸,15,65,962466,95.68626125
1576,墨,黑,15,65,962531,95.69272341
1577,龐,??,19,65,962596,95.69918557
1578,羊,羊,06,64,962660,95.70554831
1579,拔,手,08,64,962724,95.71191105
1580,柔,木,09,64,962788,95.71827379
1581,廉,??,13,64,962852,95.72463653
1582,銅,金,14,64,962916,95.73099927
1583,髮,髟,15,64,962980,95.73736201
1584,(薦),艸,17,64,963044,95.74372475
1585,雞,隹,18,64,963108,95.75008749
1586,驅,馬,21,64,963172,95.75645023
1587,赴,走,09,63,963235,95.76271355
1588,迴,??,10,63,963298,95.76897687
1589,聊,耳,11,63,963361,95.77524019
1590,窩,穴,14,63,963424,95.78150352
1591,謀,言,16,63,963487,95.78776684
1592,宇,??,06,62,963549,95.79393074
1593,眉,目,09,62,963611,95.80009465
1594,砂,石,09,62,963673,95.80625855
1595,堆,土,11,62,963735,95.81242245
1596,督,目,13,62,963797,95.81858636
1597,奪,大,14,62,963859,95.82475026
1598,廖,??,14,62,963921,95.83091417
1599,膀,肉,14,62,963983,95.83707807
1600,濕,水,17,62,964045,95.84324197
1601,蹤,足,18,62,964107,95.84940588
1602,騎,馬,18,62,964169,95.85556978
1603,甘,甘,05,61,964230,95.86163427
1604,尖,小,06,61,964291,95.86769876
1605,弄,廾,07,61,964352,95.87376324
1606,豆,豆,07,61,964413,95.87982773
1607,爬,爪,08,61,964474,95.88589222
1608,狗,犬,08,61,964535,95.89195670
1609,紡,糸,10,61,964596,95.89802119
1610,晨,日,11,61,964657,95.90408567
1611,粗,米,11,61,964718,95.91015016
1612,傾,人,13,61,964779,95.91621465
1613,黎,黍,15,61,964840,95.92227913
1614,橫,木,16,61,964901,95.92834362
1615,拖,手,08,60,964961,95.93430869
1616,峽,山,10,60,965021,95.94027376
1617,梨,木,11,60,965081,95.94623883
1618,猛,犬,11,60,965141,95.95220389
1619,貫,貝,11,60,965201,95.95816896
1620,椅,木,12,60,965261,95.96413403
1621,煮,火,12,60,965321,95.97009910
1622,痘,??,12,60,965381,95.97606417
1623,蛙,虫,12,60,965441,95.98202924
1624,溪,水,13,60,965501,95.98799431
1625,瑜,玉,13,60,965561,95.99395937
1626,碎,石,13,60,965621,95.99992444
1627,榜,木,14,60,965681,96.00588951
1628,辨,辛,16,60,965741,96.01185458
1629,辭,辛,19,60,965801,96.01781965
1630,卸,??,08,59,965860,96.02368530
1631,契,大,09,59,965919,96.02955095
1632,翁,羽,10,59,965978,96.03541660
1633,蘿,艸,23,59,966037,96.04128225
1634,址,土,07,58,966095,96.04704848
1635,閃,門,10,58,966153,96.05281472
1636,煙,火,13,58,966211,96.05858095
1637,葛,艸,13,58,966269,96.06434718
1638,鼠,鼠,13,58,966327,96.07011342
1639,磁,石,14,58,966385,96.07587965
1640,趙,走,14,58,966443,96.08164588
1641,撲,手,15,58,966501,96.08741211
1642,窮,穴,15,58,966559,96.09317835
1643,賠,貝,15,58,966617,96.09894458
1644,癌,??,17,58,966675,96.10471081
1645,繞,糸,18,58,966733,96.11047705
1646,鷹,鳥,24,58,966791,96.11624328
1647,妹,女,08,57,966848,96.12191009
1648,勁,力,09,57,966905,96.12757691
1649,孫,子,10,57,966962,96.13324372
1650,祕,示,10,57,967019,96.13891054
1651,淑,水,11,57,967076,96.14457736
1652,渡,水,12,57,967133,96.15024417
1653,鈔,金,12,57,967190,96.15591099
1654,搬,手,13,57,967247,96.16157780
1655,毀,殳,13,57,967304,96.16724462
1656,魅,鬼,15,57,967361,96.17291143
1657,噸,口,16,57,967418,96.17857825
1658,鑑,金,22,57,967475,96.18424506
1659,寸,寸,03,56,967531,96.18981246
1660,仙,人,05,56,967587,96.19537986
1661,胖,肉,09,56,967643,96.20094725
1662,掃,手,11,56,967699,96.20651465
1663,桿,木,11,56,967755,96.21208205
1664,堡,土,12,56,967811,96.21764944
1665,艇,舟,13,56,967867,96.22321684
1666,滾,水,14,56,967923,96.22878424
1667,慕,心,15,56,967979,96.23435164
1668,遲,??,16,56,968035,96.23991903
1669,川,??,03,55,968090,96.24538701
1670,壯,士,07,55,968145,96.25085499
1671,怒,心,09,55,968200,96.25632297
1672,洞,水,09,55,968255,96.26179095
1673,准,??,10,55,968310,96.26725893
1674,捐,手,10,55,968365,96.27272691
1675,氧,气,10,55,968420,96.27819489
1676,涼,水,11,55,968475,96.28366287
1677,莉,艸,11,55,968530,96.28913085
1678,縱,糸,17,55,968585,96.29459883
1679,曝,日,19,55,968640,96.30006681
1680,卅,十,04,54,968694,96.30543537
1681,朱,木,06,54,968748,96.31080393
1682,吹,口,07,54,968802,96.31617249
1683,扭,手,07,54,968856,96.32154106
1684,屏,尸,09,54,968910,96.32690962
1685,洪,水,09,54,968964,96.33227818
1686,祥,示,11,54,969018,96.33764674
1687,腿,肉,14,54,969072,96.34301530
1688,憑,心,16,54,969126,96.34838386
1689,躍,足,21,54,969180,96.35375243
1690,仲,人,06,53,969233,96.35902157
1691,災,火,07,53,969286,96.36429071
1692,刮,刀,08,53,969339,96.36955986
1693,孟,子,08,53,969392,96.37482900
1694,扁,戶,09,53,969445,96.38009815
1695,洽,水,09,53,969498,96.38536729
1696,娜,女,10,53,969551,96.39063643
1697,烏,火,10,53,969604,96.39590558
1698,脅,肉,10,53,969657,96.40117472
1699,宿,??,11,53,969710,96.40644386
1700,涵,水,11,53,969763,96.41171301
1701,堪,土,12,53,969816,96.41698215
1702,猶,犬,12,53,969869,96.42225130
1703,賀,貝,12,53,969922,96.42752044
1704,夥,夕,14,53,969975,96.43278958
1705,徹,彳,14,53,970028,96.43805873
1706,摸,手,14,53,970081,96.44332787
1707,嘴,口,16,53,970134,96.44859702
1708,誕,言,15,53,970187,96.45386616
1709,盧,皿,16,53,970240,96.45913530
1710,讚,言,26,53,970293,96.46440445
1711,沖,水,07,52,970345,96.46957417
1712,迅,??,07,52,970397,96.47474390
1713,幽,??,09,52,970449,96.47991363
1714,苗,艸,09,52,970501,96.48508335
1715,郎,邑,09,52,970553,96.49025308
1716,俱,人,10,52,970605,96.49542280
1717,粒,米,11,52,970657,96.50059253
1718,袖,衣,11,52,970709,96.50576226
1719,絨,糸,12,52,970761,96.51093198
1720,脹,肉,12,52,970813,96.51610171
1721,暖,日,13,52,970865,96.52127143
1722,輩,車,15,52,970917,96.52644116
1723,擠,手,17,52,970969,96.53161089
1724,耀,羽,20,52,971021,96.53678061
1725,蘋,艸,20,52,971073,96.54195034
1726,伍,人,06,51,971124,96.54702065
1727,夾,大,07,51,971175,96.55209096
1728,押,手,08,51,971226,96.55716126
1729,哲,口,10,51,971277,96.56223157
1730,砲,石,10,51,971328,96.56730188
1731,腎,肉,12,51,971379,96.57237219
1732,搜,手,13,51,971430,96.57744250
1733,睫,目,13,51,971481,96.58251281
1734,廚,??,15,51,971532,96.58758311
1735,鄧,邑,15,51,971583,96.59265342
1736,濾,水,18,51,971634,96.59772373
1737,霸,雨,21,51,971685,96.60279404
1738,仰,人,06,50,971735,96.60776493
1739,旭,日,06,50,971785,96.61273582
1740,昂,日,08,50,971835,96.61770671
1741,悅,心,11,50,971885,96.62267760
1742,紗,糸,10,50,971935,96.62764849
1743,梯,木,11,50,971985,96.63261938
1744,祭,示,11,50,972035,96.63759027
1745,惑,心,12,50,972085,96.64256116
1746,搞,手,13,50,972135,96.64753205
1747,腰,肉,13,50,972185,96.65250294
1748,慘,心,14,50,972235,96.65747383
1749,遞,??,14,50,972285,96.66244472
1750,劍,刀,15,50,972335,96.66741561
1751,磨,石,16,50,972385,96.67238650
1752,懼,心,21,50,972435,96.67735740
1753,(碁),石,13,50,972485,96.68232829
1754,孔,子,04,49,972534,96.68719976
1755,吐,口,06,49,972583,96.69207123
1756,伺,人,07,49,972632,96.69694270
1757,彷,彳,07,49,972681,96.70181418
1758,枝,木,08,49,972730,96.70668565
1759,垂,土,09,49,972779,96.71155712
1760,牽,牛,11,49,972828,96.71642859
1761,貪,貝,11,49,972877,96.72130007
1762,猴,犬,12,49,972926,96.72617154
1763,趁,走,12,49,972975,96.73104301
1764,鈣,金,12,49,973024,96.73591448
1765,緻,糸,15,49,973073,96.74078596
1766,蟲,虫,18,49,973122,96.74565743
1767,譬,言,20,49,973171,96.75052890
1768,孝,子,07,48,973219,96.75530096
1769,牧,牛,08,48,973267,96.76007301
1770,盆,皿,09,48,973315,96.76484507
1771,軌,車,09,48,973363,96.76961712
1772,祝,示,10,48,973411,96.77438918
1773,茵,艸,10,48,973459,96.77916123
1774,紫,糸,12,48,973507,96.78393329
1775,綁,糸,13,48,973555,96.78870534
1776,膏,肉,14,48,973603,96.79347740
1777,銘,金,14,48,973651,96.79824945
1778,燕,火,16,48,973699,96.80302151
1779,蹈,足,17,48,973747,96.80779356
1780,戒,戈,07,47,973794,96.81246620
1781,挫,手,10,47,973841,96.81713883
1782,疼,??,10,47,973888,96.82181147
1783,脆,肉,10,47,973935,96.82648411
1784,釣,金,11,47,973982,96.83115675
1785,割,刀,12,47,974029,96.83582938
1786,棟,木,12,47,974076,96.84050202
1787,註,言,12,47,974123,96.84517466
1788,腫,肉,13,47,974170,96.84984729
1789,遜,??,14,47,974217,96.85451993
1790,擋,手,16,47,974264,96.85919257
1791,雕,隹,16,47,974311,96.86386521
1792,戀,心,23,47,974358,96.86853784
1793,歹,歹,04,46,974404,96.87311106
1794,泛,水,08,46,974450,96.87768428
1795,肢,肉,08,46,974496,96.88225750
1796,捉,手,10,46,974542,96.88683072
1797,耗,耒,10,46,974588,96.89140394
1798,逆,??,10,46,974634,96.89597716
1799,淺,水,11,46,974680,96.90055038
1800,甜,甘,11,46,974726,96.90512360
1801,廊,??,12,46,974772,96.90969682
1802,逼,??,13,46,974818,96.91427003
1803,蔬,艸,15,46,974864,96.91884325
1804,瓊,玉,19,46,974910,96.92341647
1805,灘,水,22,46,974956,96.92798969
1806,寺,寸,06,45,975001,96.93246349
1807,汗,水,06,45,975046,96.93693730
1808,呂,口,07,45,975091,96.94141110
1809,怡,心,08,45,975136,96.94588490
1810,巷,己,09,45,975181,96.95035870
