八、九十年代台灣字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
才	170		3	779	0.1184%	294968	52.17%	255	79.69%
二	115		2	1073	0.1631%	296041	44.50%	253	79.06%
由	117		5	1054	0.1602%	297095	44.82%	252	78.75%
或	132		8	976	0.1484%	298071	47.13%	252	78.75%
等	143		12	920	0.1399%	298991	48.70%	251	78.44%
點	169		17	781	0.1187%	299772	52.05%	251	78.44%
見	187		7	729	0.1108%	300501	54.11%	249	77.81%
全	145		6	911	0.1385%	301412	48.98%	248	77.50%
至	179		6	753	0.1145%	302165	53.22%	248	77.50%
果	168		8	784	0.1192%	302949	51.93%	247	77.19%
真	171		10	773	0.1175%	303722	52.29%	247	77.19%
代	109		5	1136	0.1727%	304858	43.49%	246	76.88%
問	147		11	896	0.1362%	305754	49.25%	246	76.88%
何	157		7	846	0.1286%	306600	50.57%	244	76.25%
學	62		16	1690	0.2569%	308290	33.92%	243	75.94%
關	138		19	944	0.1435%	309234	48.00%	243	75.94%
美	92		9	1271	0.1932%	310505	40.38%	242	75.63%
世	139		5	932	0.1417%	311437	48.14%	242	75.63%
新	121		13	1041	0.1583%	312478	45.46%	241	75.31%
處	206		11	678	0.1031%	313156	56.15%	241	75.31%
入	236		2	626	0.09516%	313782	59.11%	241	75.31%
並	162		8	815	0.1239%	314597	51.21%	240	75.00%
感	136		13	946	0.1438%	315543	47.71%	239	74.69%
應	150		17	884	0.1344%	316427	49.66%	239	74.69%
很	154		9	866	0.1316%	317293	50.19%	238	74.38%
身	166		7	795	0.1209%	318088	51.70%	238	74.38%
次	190		6	723	0.1099%	318811	54.44%	238	74.38%
受	181		8	741	0.1126%	319552	53.44%	237	74.06%
幾	202		12	696	0.1058%	320248	55.74%	237	74.06%
頭	176		16	763	0.116%	321011	52.87%	236	73.75%
向	178		6	753	0.1145%	321764	53.10%	235	73.44%
常	146		11	901	0.137%	322665	49.12%	234	73.13%
內	172		4	772	0.1174%	323437	52.41%	234	73.13%
體	153		23	873	0.1327%	324310	50.06%	233	72.81%
少	193		4	715	0.1087%	325025	54.77%	233	72.81%
必	208		5	669	0.1017%	325694	56.35%	233	72.81%
結	219		12	652	0.09912%	326346	57.46%	233	72.81%
難	248		19	597	0.09076%	326943	60.22%	233	72.81%
化	125		4	1002	0.1523%	327945	46.08%	232	72.50%
度	175		9	764	0.1161%	328709	52.76%	232	72.50%
文	77		4	1411	0.2145%	330120	37.32%	231	72.19%
主	105		5	1177	0.1789%	331297	42.79%	231	72.19%
回	177		6	760	0.1155%	332057	52.99%	231	72.19%
活	156		9	847	0.1288%	332904	50.45%	230	71.88%
許	192		11	716	0.1088%	333620	54.66%	230	71.88%
性	85		8	1345	0.2045%	334965	38.99%	228	71.25%
變	238		23	623	0.09471%	335588	59.30%	228	71.25%
被	203		10	681	0.1035%	336269	55.84%	227	70.94%
平	205		5	678	0.1031%	336947	56.05%	225	70.31%
近	297		7	492	0.07479%	337439	64.23%	225	70.31%
將	167		11	784	0.1192%	338223	51.81%	224	70.00%
把	174		7	769	0.1169%	338992	52.64%	224	70.00%
像	183		14	740	0.1125%	339732	53.67%	224	70.00%
今	249		4	588	0.08939%	340320	60.31%	224	70.00%
氣	263		10	568	0.08635%	340888	61.54%	224	70.00%
及	112		4	1114	0.1693%	342002	44.00%	223	69.69%
己	129		3	987	0.150%	342989	46.68%	223	69.69%
