單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
根	416		10	345	0.05245%	471553	71.68%	179	55.94%
片	417		4	345	0.05245%	471898	71.74%	139	43.44%
件	418		6	344	0.05229%	472242	71.79%	156	48.75%
苦	419		9	344	0.05229%	472586	71.84%	141	44.06%
值	420		10	343	0.05214%	472929	71.89%	132	41.25%
紅	421		9	343	0.05214%	473272	71.95%	122	38.13%
吃	422		6	341	0.05184%	473613	72.00%	109	34.06%
住	423		7	340	0.05169%	473953	72.05%	156	48.75%
態	424		14	340	0.05169%	474293	72.10%	149	46.56%
須	425		12	340	0.05169%	474633	72.15%	149	46.56%
早	426		6	336	0.05108%	474969	72.20%	164	51.25%
舉	427		17	334	0.05077%	475303	72.26%	141	44.06%
轉	428		18	334	0.05077%	475637	72.31%	173	54.06%
燈	429		16	332	0.05047%	475969	72.36%	78	24.38%
英	430		9	331	0.05032%	476300	72.41%	109	34.06%
笑	431		10	328	0.04986%	476628	72.46%	128	40.00%
連	432		10	328	0.04986%	476956	72.51%	178	55.63%
另	433		5	327	0.04971%	477283	72.56%	165	51.56%
引	434		4	327	0.04971%	477610	72.61%	164	51.25%
易	435		8	326	0.04956%	477936	72.66%	162	50.63%
血	436		6	325	0.04941%	478261	72.70%	107	33.44%
否	437		7	323	0.0491%	478584	72.75%	159	49.69%
導	438		16	323	0.0491%	478907	72.80%	146	45.63%
星	439		9	322	0.04895%	479229	72.85%	98	30.63%
婚	440		11	321	0.0488%	479550	72.90%	70	21.88%
樹	441		16	320	0.04865%	479870	72.95%	100	31.25%
畫	442		12	320	0.04865%	480190	73.00%	130	40.63%
首	443		9	320	0.04865%	480510	73.05%	158	49.38%
熱	444		15	319	0.04849%	480829	73.10%	154	48.13%
斷	445		18	314	0.04773%	481143	73.14%	149	46.56%
廣	446		15	313	0.04758%	481456	73.19%	126	39.38%
段	447		9	313	0.04758%	481769	73.24%	153	47.81%
般	448		10	311	0.04728%	482080	73.29%	158	49.38%
委	449		8	310	0.04713%	482390	73.33%	86	26.88%
局	450		7	310	0.04713%	482700	73.38%	111	34.69%
史	451		5	309	0.04697%	483009	73.43%	130	40.63%
