六十年代大陸字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
至	419		6	353	0.05331%	408122	73.65%	149	45.57%
話	239		13	609	0.09198%	408731	61.12%	148	45.26%
物	147		8	944	0.1426%	409675	50.58%	147	44.95%
治	212		8	691	0.1044%	410366	58.50%	147	44.95%
形	249		7	591	0.08926%	410957	62.02%	147	44.95%
每	340		7	438	0.06615%	411395	68.96%	147	44.95%
論	142		15	969	0.1463%	412364	49.86%	146	44.65%
志	209		7	695	0.105%	413059	58.19%	146	44.65%
世	224		5	646	0.09756%	413705	59.70%	146	44.65%
回	231		6	629	0.095%	414334	60.38%	146	44.65%
門	304		8	479	0.07234%	414813	66.50%	146	44.65%
空	324		8	450	0.06796%	415263	67.89%	146	44.65%
持	399		9	375	0.05664%	415638	72.55%	146	44.65%
口	303		3	479	0.07234%	416117	66.42%	145	44.34%
區	272		11	550	0.08306%	416667	64.00%	144	44.04%
神	311		9	466	0.07038%	417133	66.99%	144	44.04%
山	99		3	1287	0.1944%	418420	42.61%	143	43.73%
眾	153		11	911	0.1376%	419331	51.42%	143	43.73%
熱	384		15	388	0.0586%	419719	71.69%	143	43.73%
軍	182		9	793	0.1198%	420512	55.17%	142	43.43%
聲	193		17	754	0.1139%	421266	56.45%	142	43.43%
黨	132		20	1025	0.1548%	422291	48.36%	141	43.12%
認	218		14	660	0.09968%	422951	59.11%	141	43.12%
遠	372		13	399	0.06026%	423350	70.98%	141	43.12%
精	442		14	335	0.05059%	423685	74.84%	141	43.12%
革	57		9	1724	0.2604%	425409	33.15%	140	42.81%
集	325		12	449	0.06781%	425858	67.96%	140	42.81%
帶	380		11	392	0.0592%	426250	71.45%	140	42.81%
毛	122		4	1098	0.1658%	427348	46.76%	139	42.51%
南	276		9	547	0.08261%	427895	64.33%	139	42.51%
或	344		8	436	0.06585%	428331	69.23%	139	42.51%
整	418		16	353	0.05331%	428684	73.60%	139	42.51%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
首	430		9	347	0.05241%	429031	74.23%	139	42.51%
達	374		12	398	0.06011%	429429	71.10%	138	42.20%
克	336		7	439	0.0663%	429868	68.70%	137	41.90%
傳	398		13	375	0.05664%	430243	72.49%	137	41.90%
底	454		8	318	0.04803%	430561	75.44%	137	41.90%
決	265		7	562	0.08488%	431123	63.41%	136	41.59%
必	291		5	509	0.07687%	431632	65.53%	136	41.59%
感	348		13	427	0.06449%	432059	69.49%	135	41.28%
參	460		11	314	0.04742%	432373	75.72%	135	41.28%
始	497		8	286	0.04319%	432659	77.40%	135	41.28%
設	359		11	414	0.06253%	433073	70.19%	134	40.98%
容	470		10	306	0.04621%	433379	76.19%	134	40.98%
級	78		10	1505	0.2273%	434884	38.25%	133	40.67%
題	173		18	837	0.1264%	435721	54.07%	133	40.67%
流	299		9	488	0.0737%	436209	66.13%	133	40.67%
北	321		5	457	0.06902%	436666	67.69%	133	40.67%
制	365		8	403	0.06086%	437069	70.55%	133	40.67%
管	445		14	331	0.04999%	437400	74.99%	133	40.67%
海	184		10	791	0.1195%	438191	55.41%	132	40.37%
組	296		11	497	0.07506%	438688	65.91%	132	40.37%
農	127		13	1064	0.1607%	439752	47.57%	131	40.06%
務	323		11	452	0.06826%	440204	67.83%	131	40.06%
件	417		6	354	0.05346%	440558	73.54%	131	40.06%
白	216		5	671	0.1013%	441229	58.91%	130	39.76%
線	254		15	583	0.08805%	441812	62.47%	130	39.76%
交	391		6	379	0.05724%	442191	72.09%	130	39.76%
落	393		13	378	0.05709%	442569	72.21%	130	39.76%
團	281		14	540	0.08155%	443109	64.74%	129	39.45%
基	301		11	485	0.07325%	443594	66.28%	129	39.45%
改	310		7	467	0.07053%	444061	66.92%	129	39.45%
連	421		10	352	0.05316%	444413	73.76%	129	39.45%
紅	255		9	580	0.0876%	444993	62.55%	128	39.14%
觀	274		25	548	0.08276%	445541	64.17%	128	39.14%
示	402		5	374	0.05648%	445915	72.72%	128	39.14%
滿	423		14	350	0.05286%	446265	73.86%	128	39.14%
階	86		11	1422	0.2148%	447687	39.99%	127	38.84%
花	137		8	998	0.1507%	448685	49.12%	127	38.84%
色	242		6	604	0.09122%	449289	61.39%	127	38.84%
具	385		8	387	0.05845%	449676	71.75%	127	38.84%
往	412		8	360	0.05437%	450036	73.27%	127	38.84%
緊	491		14	289	0.04365%	450325	77.14%	127	38.84%
資	188		13	766	0.1157%	451091	55.88%	126	38.53%
術	264		11	563	0.08503%	451654	63.33%	126	38.53%
邊	271		18	551	0.08322%	452205	63.92%	126	38.53%
越	306		12	476	0.07189%	452681	66.64%	126	38.53%
際	413		13	360	0.05437%	453041	73.33%	126	38.53%
支	443		4	333	0.05029%	453374	74.89%	126	38.53%
