單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
制	365		8	403	0.06086%	467155	70.55%	133	40.67%
先	366		6	402	0.06071%	467557	70.61%	166	50.76%
寫	367		15	402	0.06071%	467959	70.67%	88	26.91%
報	368		12	401	0.06056%	468360	70.73%	123	37.61%
確	369		15	400	0.06041%	468760	70.80%	119	36.39%
勞	370		12	399	0.06026%	469159	70.86%	119	36.39%
帝	371		9	399	0.06026%	469558	70.92%	102	31.19%
遠	372		13	399	0.06026%	469957	70.98%	141	43.12%
歷	373		16	398	0.06011%	470355	71.04%	117	35.78%
達	374		12	398	0.06011%	470753	71.10%	138	42.20%
愛	375		13	397	0.05996%	471150	71.16%	114	34.86%
堅	376		11	395	0.05966%	471545	71.22%	120	36.70%
言	377		7	394	0.0595%	471939	71.28%	96	29.36%
保	378		9	393	0.05935%	472332	71.33%	150	45.87%
斷	379		18	393	0.05935%	472725	71.39%	156	47.71%
帶	380		11	392	0.0592%	473117	71.45%	140	42.81%
古	381		5	390	0.0589%	473507	71.51%	94	28.75%
印	382		6	389	0.05875%	473896	71.57%	72	22.02%
市	383		5	388	0.0586%	474284	71.63%	110	33.64%
熱	384		15	388	0.0586%	474672	71.69%	143	43.73%
具	385		8	387	0.05845%	475059	71.75%	127	38.84%
舉	386		17	387	0.05845%	475446	71.81%	151	46.18%
女	387		3	385	0.05815%	475831	71.86%	87	26.61%
格	388		10	385	0.05815%	476216	71.92%	110	33.64%
極	389		13	385	0.05815%	476601	71.98%	152	46.48%
史	390		5	382	0.05769%	476983	72.04%	104	31.80%
交	391		6	379	0.05724%	477362	72.09%	130	39.76%
江	392		6	379	0.05724%	477741	72.15%	66	20.18%
落	393		13	378	0.05709%	478119	72.21%	130	39.76%
卻	394		9	377	0.05694%	478496	72.27%	109	33.33%
收	395		6	377	0.05694%	478873	72.32%	122	37.31%
望	396		11	376	0.05679%	479249	72.38%	111	33.94%
什	397		4	375	0.05664%	479624	72.44%	92	28.13%
傳	398		13	375	0.05664%	479999	72.49%	137	41.90%
持	399		9	375	0.05664%	480374	72.55%	146	44.65%
再	400		6	374	0.05648%	480748	72.61%	149	45.57%
河	401		8	374	0.05648%	481122	72.66%	82	25.08%
示	402		5	374	0.05648%	481496	72.72%	128	39.14%
且	403		5	373	0.05633%	481869	72.78%	159	48.62%
策	404		12	373	0.05633%	482242	72.83%	58	17.74%
習	405		11	371	0.05603%	482613	72.89%	113	34.56%
樹	406		16	369	0.05573%	482982	72.94%	89	27.22%
村	407		7	366	0.05528%	483348	73.00%	97	29.66%
歌	408		14	365	0.05512%	483713	73.05%	64	19.57%
快	409		7	363	0.05482%	484076	73.11%	122	37.31%
擊	410		17	363	0.05482%	484439	73.16%	104	31.80%
識	411		19	362	0.05467%	484801	73.22%	102	31.19%
往	412		8	360	0.05437%	485161	73.27%	127	38.84%
際	413		13	360	0.05437%	485521	73.33%	126	38.53%
飛	414		9	360	0.05437%	485881	73.38%	94	28.75%
斯	415		12	359	0.05422%	486240	73.44%	97	29.66%
須	416		12	358	0.05407%	486598	73.49%	110	33.64%
件	417		6	354	0.05346%	486952	73.54%	131	40.06%
整	418		16	353	0.05331%	487305	73.60%	139	42.51%
至	419		6	353	0.05331%	487658	73.65%	149	45.57%
笑	420		10	352	0.05316%	488010	73.70%	69	21.10%
連	421		10	352	0.05316%	488362	73.76%	129	39.45%
增	422		15	350	0.05286%	488712	73.81%	118	36.09%
滿	423		14	350	0.05286%	489062	73.86%	128	39.14%
辦	424		16	350	0.05286%	489412	73.91%	124	37.92%
半	425		5	349	0.05271%	489761	73.97%	118	36.09%
育	426		7	349	0.05271%	490110	74.02%	96	29.36%
覺	427		20	349	0.05271%	490459	74.07%	124	37.92%
尼	428		5	347	0.05241%	490806	74.12%	64	19.57%
站	429		10	347	0.05241%	491153	74.18%	102	31.19%
首	430		9	347	0.05241%	491500	74.23%	139	42.51%
織	431		18	346	0.05226%	491846	74.28%	114	34.86%
紀	432		9	345	0.0521%	492191	74.33%	95	29.05%
米	433		6	341	0.0515%	492532	74.39%	87	26.61%
影	434		15	339	0.0512%	492871	74.44%	113	34.56%
兵	435		7	337	0.0509%	493208	74.49%	82	25.08%
呢	436		8	337	0.0509%	493545	74.54%	103	31.50%
非	437		8	337	0.0509%	493882	74.59%	122	37.31%
黑	438		12	337	0.0509%	494219	74.64%	91	27.83%
養	439		15	336	0.05075%	494555	74.69%	77	23.55%
叫	440		5	335	0.05059%	494890	74.74%	100	30.58%
式	441		6	335	0.05059%	495225	74.79%	107	32.72%
精	442		14	335	0.05059%	495560	74.84%	141	43.12%
支	443		4	333	0.05029%	495893	74.89%	126	38.53%
程	444		12	331	0.04999%	496224	74.94%	116	35.47%
管	445		14	331	0.04999%	496555	74.99%	133	40.67%
偉	446		11	330	0.04984%	496885	75.04%	95	29.05%
田	447		5	330	0.04984%	497215	75.09%	88	26.91%
破	448		10	330	0.04984%	497545	75.14%	116	35.47%
敵	449		15	329	0.04969%	497874	75.19%	75	22.94%
片	450		4	329	0.04969%	498203	75.24%	114	34.86%
王	451		4	329	0.04969%	498532	75.29%	89	27.22%
積	452		16	328	0.04954%	498860	75.34%	123	37.61%
信	453		9	325	0.04908%	499185	75.39%	114	34.86%
底	454		8	318	0.04803%	499503	75.44%	137	41.90%
武	455		8	318	0.04803%	499821	75.49%	111	33.94%
值	456		10	317	0.04788%	500138	75.53%	69	21.10%
朝	457		12	316	0.04772%	500454	75.58%	77	23.55%
